YEAR,GDP,TAX,INV,GXP,CON
1990,1598.64,58.42,0.1,875.040216,998.27
1991,1875.618,75.67,0.3,871.554,1047.324691
1992,2136.312,83.04,0.1,1010.84,1194.112711
1993,2072.457,79.35,0.023,999.541,1173.602271
1994,2209.934,80.9,0.3,1066.887,1239.074364
1995,2588.002,91.81,0.5,1426.4302,1443.964788
1996,2498.113,90.98,0.6,1234.544,1406.216532
1997,2214.694,91.64,0.8,1075.6401,1242.955109
1998,2242.065,95.56,1.3,1079.4483,1246.055352
1999,2197.125,102.94,3.9,1059.2795,1233.498753
2000,1948.843,109.09,12.7,930.7236,1096.699388
2001,1945.804,96.94,2.9,922.6273,1098.672324
2002,2077.016,94.77,2.5,994.2996,1158.584064
2003,2501.014,95.44,2.6,1208.0946,1412.512785
2004,2813.076,93.03,0.7,1316.2804,1580.063186
2005,2848.438,95.84,2.1,1333.6614,1609.57538
2006,2994.862,106.43,2.9,1354.7347,1667.613533
2007,3425.982,116.33,1.5,1486.7985,1849.604014
2008,3744.854,121.71,0.8,1655.207,2030.857391
2009,3407.557,109.63,1.7,1642.4538,1925.340918
2010,3402.444,108.35,2.5,1637.002,1873.512073
2011,3748.655,118.46,2.6,1695.8323,2039.128144
2012,3529.377,127.21,1.9,1585.3251,1936.646761
2013,3733.859,133.14,1.8,1678.16,2037.046199
2014,3890.095,138.56,0.5,1723.4297,2077.641048
2015,3357.926,145.94,1.9,1482.2253,1778.514769
2016,3468.896,155.93,1.9,1538.5846,1830.503388
2017,3689.547,166.56,3,1629.8631,1923.242664
2018,3979.093,176.34,4.2,1763.7437,2069.099616
2019,3888.756,182,1.8,1749.5937,2018.315147
2020,3843.335,171.68,3.7,1954.024,1950.845826
